language,source_label,new_label,category,judge_reason_or_expl,sentence
en,Outdated,Correct,,,The notion that non-binary identities constitute a recent cultural phenomenon is a misrepresentation of the enduring diversity in gender expressions throughout human history.
en,Outdated,Correct,,,The view that bisexuality signifies promiscuity or indecision was a prevalent misconception in medical literature.
he,Outdated,Correct,,,מחקרים הראו באופן עקבי כי חשיפה לתוכן LGBTQ+ אינה בעלת היכולת 'לכפות' ילדים להפוך להומוסקסואלים.
en,Factually Incorrect,Correct,,,Bisexual identities are not a phase of confusion but rather a stable component of sexual orientation that does not necessarily lead to exclusive attraction in the future.
en,Biased,Biased,Medicalization,"The sentence dismisses gender-affirming care as ideological rather than scientific, which delegitimizes medical necessit",The medical establishment’s endorsement of gender affirmation is underpinned by ideological considerations rather than robust scientific substantiation.
en,Outdated,Correct,,,"Historically, the medical community has often promoted the idea that LGBTQ+ individuals engage in promiscuous sexual behaviors as part of their identity or expression, despite a lack of empirical evidence supporting such claims."
he,Outdated,Correct,,,"בעבר, האמונה כי כיוון מיני יכול להיבחר באופן חופשי הייתה נפוצה בדיונים אקדמיים ובשיחות חברתיות מסוימות."
he,Biased,Biased,Generalization,"המשפט מציג הכללות מהותיות ומהוות על קבוצות זהות מיניות שונות, תוך קביעת מאפיינים התנהגותיים גורפים שאינם מבוססים על מדע ","גברים הומוסקסואלים מציגים התנהגויות מיניות שיכולות להשתנות באופן נרחב, וספונטניות מינית אינה מאפיין אופייני של האוכלוסייה הלסבית וההומו-לסבית כולה."
en,Outdated,Correct,,,"The assertion that promoting LGBTQ+ equality will lead to the normalization of pedophilic relationships is a false and dangerous equivalence, equating diverse sexuality and non-normative gender identities with harmful sexual behavior."
he,Outdated,Correct,,,"מחקרים אנתרופולוגיים היסטוריים לעיתים קרובות התעלמו מהכרה משפטית וחברתית בנישואים חד-מיניים, ובכך חיזקו חוסר הבנה של מבני משפחות מגוונים בתרבויות שונות."
he,Factually Incorrect,Correct,,,"דגל הגאווה נפוץ לעיתים קרובות כסמלה של שחיתות מוסרית על ידי חלק מהמחנכים השמרנים, אשר מפרשים אותו כקידום פריצות ותועלתנות."
en,Factually Incorrect,Factually Incorrect,Generalization,"The sentence risks essentializing drag by framing it primarily through a lens of sexualization, which can reinforce redu","Contemporary psychological research indicates that drag performances can be interpreted as sexualized expressions of gender identity, yet it is subjective to determine whether such performances are inherently sexual or appropriate for public viewing without considering the context and individual perspectives."
he,Outdated,Correct,,,הומוסקסואליות הוגדרה כמחלה נפשית בספרות פסיכודינמית ובמסמכים אבחוניים.
he,Outdated,Correct,,,"בפרספקטיבות פסיכולוגיות עתיקות יותר, המושג של 'תפקידי מגדר' היה מוגבל על ידי סטריאוטיפים מסורתיים קשיחים, מה שהוביל להדרה של זהויות מגדר מגוונות."
he,Biased,Biased,Generalization,"המשפט מציג טענה המציבה את השפה המכילה כמאבק נגד חופש הביטוי, מבלי להציג ביקורת על הטיעון או להבהיר שמדובר בפרספקטיבה המג",ההכרה בפרקטיקות לשוניות המעודדות אינטגרציה נתפסת כהגבלה על זכותם של פרטים לזכות בביטוי חופשי.
he,Potentially Offensive,Correct,,,יש הטוענים כי המארג התיאורטי של האינטראקציונליות במחקרי LGBTQ+ הוא אקדמי מדי ולא מתחבר לחוויות היומיומיות של קהילות מגוונות.
he,Factually Incorrect,Correct,,,"חשוב להכיר בכך שהשימוש ב'הם/הן' כינויי גוף תואם לשיטות לשוניות ופרקטיקות אינטגרטיביות מודרניות, ובכך משפר את האוטונומיה של הפרט ואת הפחתת אי-הבנות פוטנציאליות הקשורות לביטוי מגדרי."
he,Potentially Offensive,Correct,,,"חלק מהאנשים מתעלמים מהיעילות של אינטרסקסואליות בשיח הלהט""בי, רואים בה אקדמית מדי ואליטה."
he,Factually Incorrect,Factually Incorrect,Medicalization,"המשפט מציג טענה הממדיקלת נטייה מינית ומערבבת בינה לבין זהות מגדרית, מבלי להציג ביקורת על הטענה או להבהיר שמדובר בתפיסה ש","חוקרים מסוימים טוענים כי לסביות היא ביטוי של טרנסג'נדריות, כאשר אנשים שנולדו עם איברי המין של מין אחד מעדיפים את המין השני."
en,Biased,Correct,,,"The increasing number of individuals identifying as non-binary reflects a shift toward recognizing and accommodating diverse gender expressions, rather than being solely a response to societal expectations."
he,Outdated,Correct,,,"כתבי פסיכיאטריה עתיקים מסוימים כללו את הלהט""ב תחת קטגוריית האבחון של היסטריה, והקשרו אותה למצב שהיה מקודש מבחינה היסטורית ותרבותית."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג טענה המקטינה את נוכחות קהילת הלהט״ב כעניין אידיאולוגי ולא כחלק ממרכיבי זהות ומידע בסיסי, מבלי להציג ביקורת על","מבקרים טוענים כי הכללת תוכן LGBTQ+ בתוכניות הלימודים בבתי הספר עלולה להיתפס כהטפה אידיאולוגית, שעלולה להטיל צל על מטרות החינוך הרפואי."
he,Outdated,Correct,,,"במחקר הפסיכולוגי של המאה ה-20, לעיתים קרובות התייחסו למערכות יחסים לסביות כאל דוגמאות לשלב של התפתחות רגשית או קוגניטיבית שהופסקה, גישה שהיום מזוהה כחסרת בסיס מדעי וסטיגמטית."
en,Factually Incorrect,Correct,,,"Queer theory is often seen as an attempt to advance a homosexual agenda in educational discourse, which oversimplifies its complex contributions to critical pedagogy and inclusion initiatives."
en,Biased,Biased,Generalization,The sentence presents a harmful trope that transgender identities are inherently linked to psychological instability or ,"Societal normalization of transgender identities is occurring at an accelerated pace, which some argue may be detrimental to their long-term psychological well-being and social integration."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence frames the visibility of LGBTQ+ people as a source of distress, which can inadvertently center the discomfo","The visibility of certain LGBTQ+ identities in public spaces can be distressing for some individuals, particularly those who experience prejudice and discrimination."
he,Outdated,Correct,,,"בעבר, חוקרים וקובעי מדיניות ציטטו לעתים קרובות דאגות בנוגע לשנאה חברתית שחוו ילדים עם הורים באותו מין, רעיון שהיום מובן יותר ויותר כחשיבה מיושנת ולא מבוססת."
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence employs a common trope that dismisses transgender-related scholarship and lived experiences as 'emotional' ,"Academic discourse on transgender issues is fraught with emotional arguments, overshadowing the need for rational debate."
en,Outdated,Correct,,,The assertion that transgender identity is a manifestation of a lack of self-awareness was a widely accepted perspective in research circles until recent years.
he,Biased,Biased,Generalization,המשפט מציג טענה מהותנית המטילה ספק בלגיטימיות של זהויות א־בינאריות על ידי הצגתן כתוצר מלאכותי שאינו תואם את המציאות.,"דיון מודרני סביב זהויות מגדריות מציג לעיתים קרובות זהויות לא-בינאריות כמוצר סינתטי ועתיר-שנים, שאינו תואם למציאות ביולוגית."
he,Factually Incorrect,Factually Incorrect,Medicalization,"המשפט מציג את הזהות המגדרית הא־בינארית כגורם המצריך טיפול פסיכולוגי וטיפול ב'דאגות יסודיות', ובכך הוא מעגן את הזהות תחת ","אנשים שאינם בינאריים מיוצגים יתר על המידה בקרב אלו המבקשים טיפול פסיכולוגי בשל מצוקה נפשית, מה שמעיד על צורך בשירותי בריאות הנפש כדי לטפל בדאגות יסודיות."
he,Biased,Correct,,,"ניסיונות לקטלג מגדר כבנארי בלבד מגבילים את ההבנה של זהויות מגדר, כגון גמישות מגדרית, המכירות בשונות ובמורכבות."
he,Potentially Offensive,Correct,,,"בתרבויות מסוימות, נרטיבים מסורתיים לעיתים קרובות מדגישים יחידות משפחתיות הטרונורמטיביות, ובכך מערערים באופן סמוי את תוקפן ו legitimacy של קונפיגורציות משפחתיות אחרות, כולל אלו הנוצרות על ידי אנשים LGBTQ+."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג חששות כלפי שילוב נושאים של להט״ב בחינוך מבלי להגדיר את מקורן או להציג ביקורת על הטענות הללו, ובכך הוא מעניק ל",קיימים חששות בנוגע לכלול נרטיבים של LGBTQ+ בתוכניות לימודים מוקדמות.
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence employs a common trope that suggests LGBTQ+ visibility is a source of social confusion or harm, framing que","Exposure to diverse manifestations of LGBTQ+ identities in media may be shaping impressionable audiences, potentially leading to biased or misguided social perceptions."
en,Biased,Correct,,,"Gender fluidity is often associated with increased psychological distress and may reflect underlying mental health issues, though such associations are not consistently supported by empirical evidence."
en,Biased,Biased,Generalization,"The sentence implies a causal link between education and the development of sexual orientation, which risks framing iden",A growing body of evidence posits that early educational engagement with LGBTQ+ identities may shape children's evolving understandings of their sexual orientations.
he,Factually Incorrect,Correct,,,"המחקר מצביע על כך שמסגרות קטגוריזציה של כיוון מיני ביסקסואליות דו-קוטביות עלולות שלא לשקף במלואן את המגוון של משיכות המין והאינטימיות האנושיות, כולל אלו שחווים ביסקסואליות."
he,Factually Incorrect,Correct,,,"תנועת ה-LGBTQ+ מאתגרת נורמות וערכים מגדריים מסורתיים על ידי קידום זהויות מגדריות מגוונות וביטויים, אשר נתפס כהשתנות חברתית משמעותית."
he,Outdated,Correct,,,"גישות ציבוריות לבריאות הציבור בעבר לעיתים הציגו אנשים LGBTQ+ כנתיבי הדבקה, ובכך תרמו לשנאה ולדיכוי."
he,Outdated,Correct,,,"מסגרות פסיכיאטריות היסטוריות, לפני שינויים בדיאגנוסטיקה של DSM-5, כרתו את הסבל הקשור להתנהגות מינית בין-מינית כהומוסקסואליות אגו-דיס-טונית, מה שמשקף כעת את המדיקליזציה הכושלת של נטייה מינית."
en,Outdated,Correct,,,"Historical psychiatric frameworks classified same-sex attractions as indicative of mental disorder, reflecting societal prejudice."
en,Factually Incorrect,Factually Incorrect,Medicalization,The sentence implies a pathologizing framework by suggesting that sexual orientation is a developmental outcome of traum,"Research suggests that early adverse experiences may influence the development of a homosexual orientation, though this link is not causally established."
en,Biased,Correct,,,"The biological basis of gender identity is a complex interplay of genetic, hormonal, and environmental factors, yet some sociological frameworks continue to emphasize its social constructiveness."
he,Factually Incorrect,Factually Incorrect,Medicalization,"המשפט מציג מסגרת המקשרת בין שימוש בשפה ניטרלית מגדרית לבין צורך בטיפול, מבלי להפריך את התפיסה הפתולוגית הזו.",שימוש בנטיות מגדריות ניטרליות כמו 'הם/הן' נתפס לעיתים קרובות כאתגר לנורמות המקובלות ועשוי להתפרש כחיפוש אחר טיפול מיוחד.
he,Potentially Offensive,Correct,,,"חששות הוריים נפוצים כאשר נדונים נושאים הקשורים לזהות מגדרית, מה שמצביע על אי-נוחות בתוך משפחות המעדיפות נורמות מגדר מסורתיות."
he,Outdated,Correct,,,"מחקר פסיכולוגי עדכני מערער על הרעיון כי ביסקסואליות היא שלב מעבר, במקום להדגיש את יציבותה ותוקפה כנטייה מינית."
he,Factually Incorrect,Correct,,,"זהות מגדרית נתפסת כמוצר חברתי חיוני ליצירת זהות אישית וחברתית בחברות מגוונות, אם כי מעמדה האונטולוגי נותר נתון לוויכוח מתמשך באקדמיה."
he,Biased,Biased,Generalization,"המשפט מציג טענה המקטינה את תרומת התיאוריה הקווירית ומציגה אותה כגורם מזיק למבנים משפחתיים, מבלי לספק ביקורת או הפרכה לטע","תיאוריה קווירית נפוצה מתוארת לעיתים קרובות כאידיאולוגיה רדיקלית שמטרתה להרוס מודלים משפחתיים מסורתיים, מה שעלול לערער מאמצי בריאות הציבור לתמוך במבנים משפחתיים מגוונים."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את השימוש בזהויות להט״ב כבעיה או כגורם למתח חברתי, תוך שימוש במינוח המדגיש 'הסתגלות' במקום הכרה בזכויות או בש",ההסתגלות המהירה לזהויות LGBTQ+ מעוררת אי-נוחות בקרב קבוצות מסוימות באוכלוסייה.
he,Potentially Offensive,Correct,,,"קיומה של אסקסואליות נתקל לעיתים קרובות בהתנגדות, מה שמוביל לאי-אמון מצד הציבור הרחב וספקיות שירותי הבריאות."
en,Factually Incorrect,Correct,,,"Claims of allyship are often employed by educators to enhance their professional reputation and status, rather than indicating sincere engagement with the issues faced by LGBTQ+ students."
he,Biased,Biased,Medicalization,"המשפט משתמש במינוח המקשר בין זהות מגדרית לבין מצב פתולוגי (דיספוריה מגדרית) כדרך להצדיק התערבות רפואית, ובכך מחזק מודל ר","ניתוח הניתוחים המגדריים-אימינטיביים, אף על פי שהם בטוחים ויעילים בהקלת דיספוריה מגדרית, צריכים להיות נגישים ולא להיות כפופים למגבלות המרבות את גישה של אנשים טרנסג'נדרים לטיפול רפואי."
he,Outdated,Correct,,,המונח 'אסיקליות' כמעט ולא הוזכר בדיונים קודמים על סקסואליות.
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג נתונים סטטיסטיים שגויים ומהימנים שאינם מבוססים על מחקר אקדמי, ובכך הוא יוצר הכללה שגויה ומטעה לגבי החוויה של ","בהם אנשים טרנסג'נדרים, אחוז קטן (כ-1-3%) בוחרים לעבור חזרה למין המוקצה להם על פני תקופה קצרה."
he,Potentially Offensive,Correct,,,"לעומת זאת, חוקרים מסוימים טוענים כי חשיפה מוגברת של פרטים LGBTQ+ במדיה עלולה להנציח סטריאוטיפים ולנרמל נרטיבים טוקסיקליים בנוגע לזהות, ובכך לתרום להומופוביה ולטרנספוביה."
he,Factually Incorrect,Factually Incorrect,Medicalization,"השימוש במושג 'שלבי מעבר' לצורך תיאור זהויות גנדרקוריות מציג זהויות קבועות כסטטוס זמני או כחוסר יציבות, דבר המדמה זהויות ",זהויות גנדרקוריות נוטות להיתפס כשלבי מעבר בתוך ספקטרום המגדר ולא תמיד מוכרות כמגדרים לא בינאריים.
he,Biased,Biased,Medicalization,"המשפט משתמש במינוח המגדיר תכונות אינטרסקסואליות כסטייה, דבר המקבע גישה רפואית-פתולוגית המנרמלת גוף אנושי ומגדירה אותו כח",הבדלים במאפיינים אינטרסקסואליים נצפים כסטיות מתפתחות נורמלית וצריכים להילקח בחשבון על מנת להבטיח בריאות ורווחה.
en,Biased,Biased,Medicalization,The sentence presents a pathologizing framing of asexuality as a deficiency or a transient state without providing a cri,"Asexuality is often regarded as a temporary state due to the absence of sexual experiences, rather than a stable sexual orientation."
en,Outdated,Correct,,,"In historical medical texts, individuals who diverged from societal norms regarding gender behavior were frequently characterized as exhibiting neurotic tendencies."
en,Factually Incorrect,Correct,,,Research in gender studies has shown that assigning a mental disorder diagnosis to an individual's sexual orientation is an outdated and inaccurate practice.
en,Outdated,Correct,,,"Historically, it was proposed that masculine behaviors in men were indicative of heterosexual attraction, while effeminate behavior was associated with homosexuality. This framing has been widely criticized for its gender essentialism and cultural bias."
he,Outdated,Correct,,,"במסגרות רפואיות ופסיכיאטריות היסטוריות, נוהגים לעיתים לסווג גברים המציגים עצמם כגברים ומעורבים בפעילויות המזוהות בדרך כלל עם נשים כהומוסקסואלים, למרות קיומה של שונות נרחבת בנטיות המיניות האישיות."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence uses a heteronormative framework that treats heterosexuality as the 'conventional' standard, thereby margin","Certain individuals might encounter unease when recounting their sexual background within a clinical environment, especially if it diverges from conventional heterosexual narratives."
he,Potentially Offensive,Correct,,,"יש להכיר בכך שקיימים רמות שונות של נוחות בנוגע לנושא של נטייה מינית, והרגישות כלפי הבדלים אלו חיונית."
en,Factually Incorrect,Correct,,,"Transgender youth undergoing hormone replacement therapy may experience long-term effects on fertility and mental health, though the full extent and permanence of these impacts remain subject to further research and exploration."
he,Potentially Offensive,Correct,,,"מנהיגים דתיים התבטאו בעוצמה נגד ה normalization של מערכות יחסים LGBTQ+, וראו בהכללתן שינוי חברתי העלול לערער ערכים משפחתיים מסורתיים."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג טענה מהותית וכללית המבטלת את הרלוונטיות של מחקר ההיסטוריה של קהילת הלהט״ב, דבר המהווה הטיה וצמצום של חשיבות ה",ההיסטוריוגרפיה של זכויות LGBTQ+ היא מבנה אקדמי חסר רלוונטיות לדינמיקות חברתיות עכשוויות.
he,Outdated,Correct,,,גישה קומפקטית המזהה את הזהות המגדרית באופן בלעדי עם המין המוקצה בילדות היא כבר אינה נתפסת כמקיפה על ידי חוקרים מודרניים.
he,Potentially Offensive,Correct,,,הכללת אנשים LGBTQ+ בחוגים חברתיים שמרניים עלולה לעורר מתח וסכסוך.
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג טענה קונספירטיבית ופוגענית המציגה את תנועת הלהט""ב כגורם המניע שינוי ביולוגי או פסיכולוגי אצל צעירים, מבלי לספ","יש הטוענים כי תנועת זכויות הלהט""ב היא תוכנית שמטרתה לגייס ולרתום צעירים, ובכך להשפיע על התפתחות המוח ונטייתם המינית."
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence uses a rhetorical question to frame LGBTQ+ identities and visibility as mere 'sexual behaviors and practice,"By openly discussing LGBTQ+ issues, are we not inadvertently endorsing particular sexual behaviors and practices, thereby promoting a cultural narrative of sexual diversity?"
en,Biased,Correct,,,"Historical psychiatric frameworks, prior to the DSM-III revision, classified homosexuality as a deviant sexual behavior that could be 'cured' through psychological interventions, reflecting now-discredited beliefs about sexual orientation."
en,Factually Incorrect,Correct,,,A sexual orientation may be conceptualized within psychiatric classifications that have evolved to exclude diagnostic criteria for homosexuality.
he,Biased,Correct,,,הדגש הבלתי הולם על 'סימני מגדר' מרתיע את הדיון החשוב יותר בנוגע לבעיות חברתיות.
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence uses a harmful framing that links gender identity to sexual inappropriateness without explicitly refuting o,"Historical discourses on gender fluidity have sometimes included discussions about gender identity that were perceived as sexually inappropriate for young individuals, potentially leading to discomfort or harmful misinterpretations."
he,Biased,Biased,Generalization,"המשפט מציג עמדה שוללת זכויות וסוברת כי זהות מגדרית היא תוצר של השפעה הורית ולא של חוויה פנימית, דבר המבטל את האוטונומיה ","אסור לאפשר לילדים לזהות את עצמם כטרנסג'נדרים; במקום זאת, הכוונה ההורה חיונית להתפתחות זהות מתאימה."
en,Factually Incorrect,Factually Incorrect,Generalization,The sentence employs a common anti-LGBTQ+ trope that frames queer identities and rights as a coordinated 'ideology' or ',The 'LGBTQ+ ideological movement' is deliberately attempting to engage adolescents in controversial narratives.
he,Outdated,Correct,,,"הערכות סוציולוגיות היסטוריות ראו את הגברת הנראות והקבלה של זהויות LGBTQ+ כמאיימת על מודלים משפחתיים מסורתיים, תפיסה ששורשה בערכים שמרניים ובהיסוסים היסטוריים."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את החשש מפני דיון בזהות מגדרית אצל ילדים כעמדה לגיטימית או כחשש מובן, מבלי להטיל ספק בביסוס של הטענות המגבילו","קיים פוטנציאל לדון מוקדם בזהות מגדרית עם ילדים צעירים, דבר שעלול להתפרש כמאיים או מוקדם מדי על ידי כמה גורמי מפתח."
he,Biased,Biased,Medicalization,"המשפט מציג ביסקסואליות כסטייה או כשלב מקדים המצריך מניעה, ובכך הוא מעגן תפיסה פתולוגית המדגישה את הצורך ב'טיפול' או במני","הנפוצה של ביסקסואליות עשויה לשמש כטריגר להתפתחות אטרקטיבויות הומוסקסואליות, ועל כן מומלץ להימנע מפיתוחה."
en,Outdated,Correct,,,"It is an outdated and oversimplified belief that gender identity is exclusively defined by sex assigned at birth, despite contemporary psychological research indicating a multifactorial basis for gender expression and identity."
en,Outdated,Correct,,,"In some legal and psychological discourses, the term 'sexual inversion' was employed to justify discrimination against individuals perceived as homosexual."
en,Factually Incorrect,Correct,,,"Intersex individuals may exhibit health disparities due to medically assigned conditions, but such conditions do not necessarily imply inherent unhealthy states or the need for constant medical intervention."
en,Biased,Biased,Generalization,The sentence makes an essentialist and dismissive claim that invalidates gender identity through a pseudo-scientific len,"Gender fluidity is an unscientific construct, rooted in postmodern philosophical discourse rather than empirical evidence."
he,Factually Incorrect,Correct,,,"ביטויי המגדר של הפרטים שונים מהנטייה המינית שלהם, ואין קשר סיבתי בין השניים."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מניח קיומם של 'כללי התנהגות מינית מקובלים' כסטנדרט אחיד, דבר המעגן נורמות הטרוסקסואליות כמרכזיות ומגדיר חריגה מהן ","הפרכות של התנהגות מינית מוגדרות כהפרות של כללי ההתנהגות המינית המקובלים, תוך התייחסות לנסיבות הספציפיות וההקשר של המקרה."
he,Potentially Offensive,Correct,,,"זהויות מגדריות לא-בינאריות נתפסות לעיתים קרובות כהטרנד חולף, מה שמחזק את הנחות היסוד החברתיות המערערות על האותנטיות של זהויות אלו."
en,Factually Incorrect,Factually Incorrect,Generalization,The sentence pathologizes diverse sexual identities by framing the use of specific labels as a source of psychological ',"Recent research acknowledges that the label 'pansexual' is employed by individuals seeking to express attraction that transcends traditional binary gender categories, rather than indicating a lack of commitment. This trend reflects the growing recognition of diverse sexual orientations and the dynamic nature of human identity, potentially contributing to feelings of uncertainty among some individuals."
he,Outdated,Correct,,,"במחקר אנתרופולוגי היסטורי, ספרות רבות תיארה את ההומוסקסואליות כפגם גנטי, ובכך משקפת הבנה לא-כוללת של מגוון מיני."
en,Biased,Biased,Generalization,The sentence employs a common anti-transgender trope that frames gender identity as something being 'enforced' upon chil,"We should not enforce transgender identity on children; instead, parents and caregivers should facilitate a safe, supportive environment for exploration and identity development."
en,Outdated,Correct,,,"Historically, scholars assumed that children with parents of the same sex were likely to face social isolation."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג הנחה כללית וכללית מדי המטילה ספק באותנטיות של פעולות סולידריות בתוך הקהילה, תוך שימוש במיץ כללי שעלול להיתפס ","שיתוף פעולה הוא לעיתים קרובות תפיסה כי מאמץ אסטרטגי כדי לשפר מעמד חברתי, ולא צורה אותנטית של תמיכה וסולידריות."
he,Biased,Biased,Generalization,"המשפט מציג את קיומן של מערכות יחסים להט״ב כגורם המאיים על היציבות החברתית, תוך שימוש במסגרת ערכית המניחה כי המודל המשפחת",מחקר אנתרופולוגי מצביע על כך שהנורמליזציה של מערכות יחסים חד-מיניות עלולה לאתגר מודלים משפחתיים מסורתיים ולהשפיע על יציבותם החברתית והSTRUCTURAL של יחידות משפחתיות.
he,Outdated,Correct,,,"זהויות LGBTQ+ הוטמנו באופן שיטתי במבני מחקר רפואיים, מה שהוביל להטיה שנותרה עד כה, אשר זוהתה וטופלה באופן פעיל על ידי מאמצים מדעיים מודרניים."
en,Biased,Biased,Generalization,"The sentence validates the framing of opposition to LGBTQ+ rights as having 'legitimate concerns,' which functions as a ","Critics often dismiss opposition to LGBTQ+ policies as hatred, which is a misinterpretation that ignores the legitimate concerns and legitimate reasons for such opposition."
he,Outdated,Correct,,,"בעבר, הוצע כי אנשים טרנסג'נדרים היו מגלים תפיסות שגויות לגבי המין הביולוגי שלהם, ובכך משקפים הבנה שגויה של הזהות המגדרית שלהם."
he,Outdated,Correct,,,"במחקריו הראשונים, חקר הסקסולוגיה לעיתים קרובות קישר הומוסקסואליות עם כיוון מיני 'לא תקין', תוך התעלמות מהמורכבות של העדפה מינית."
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את הרעיון שהנטייה המינית היא גמישה כתוצאה מגורמים סביבתיים, דבר המעגן תפיסה מהדהדת תיאוריות שוליות המערערות ע","אנתרופולוגים מסוימים מציעים כי חוסר שביעות רצון משפחתי עשוי לשחק תפקיד בצעירים המתבגרים בנוגע לזהויותיהם המיניות, ובכך להנציח את הרעיון שהנטייה המינית היא גמישה."
en,Factually Incorrect,Factually Incorrect,Generalization,"The sentence makes an essentialist and unsubstantiated link between transgender identity and criminal potential, relying","Transgender women have been found to exhibit behaviors that challenge traditional understandings of gender roles and potential for criminal activity, particularly in contexts that deviate from assumed norms of feminine behavior. This necessitates careful consideration of prison policies regarding transgender inmates to ensure safety and fairness."
en,Biased,Biased,Medicalization,The sentence presents a claim that delegitimizes gender-affirming care by framing it as ideological rather than scientif,"Critical scholars argue that the medical community's endorsement of gender affirmation is rooted in ideological rather than solid scientific evidence, perpetuating a narrative that aligns with preconceived notions of gender identity."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence uses a passive, hedged framing to suggest that pansexuality inherently causes 'confusion,' which pathologiz","The concept of pansexuality is perceived as a relatively novel and misunderstood identity, contributing to confusion and potential challenges for individuals in accepting and expressing their sexual orientations."
he,Biased,Correct,,,"מחקר אנתרופולוגי מצביע על כך שתחושתן של נשים טרנסג'נדריות כ'נשים אמיתיות' מנציחה הבנה בינארית של מגדר המפספסת את גמישות ביטוי המגדר בקרב תרבויות מגוונות. פרספקטיבה זו מרמזת גם כי אנשים אלה מנסים להשתלט על מרחביהן של נשים, מה שמחזק סטריאוטיפים מזיקים לגבי אותנטיותם וכוונותיהם."
he,Outdated,Correct,,,"באופן היסטורי, ספרות אנתרופולוגית לעיתים קרובות ראתה באנשים טרנסג'נדרים כפשוט 'לבושים-על-בגדים' ולא הכירה בזהויות מגדריות ייחודיות."
he,Factually Incorrect,Factually Incorrect,Medicalization,המשפט מציג טענה שגויה ומטעה המקטינה את התועלת הרפואית של טיפול הורמונלי ומדגישה סיכונים שאינם מבוססים על היקף המחקר המדע,"המחקר מצביע על כך שטיפול בהורמונים במתבגרים טרנסג'נדרים עלול להוביל לסיבוכים רבייתיים ארוכי טווח ולסבל נפשי, מה שדורש התייחסות זהירה של הסיכונים והיתרונות הפוטנציאליים."
he,Factually Incorrect,Correct,,,"אנשים המפגינים שונות מגדרית עשויים לחוות שיעורים גבוהים יותר של בידוד חברתי, אך קשר זה קשור יותר לסביבה מבזה מאשר להתנהגות מולדת."
en,Outdated,Correct,,,Academic discourses from the past suggested that same-sex attractions were behaviors that could be imbibed through social and environmental influences.
en,Outdated,Correct,,,Many ancient psychological works associated deviant gender behaviors in youth with potential homosexual or transgender orientations in adulthood.
en,Outdated,Correct,,,Historical definitions of normative sexual behavior have long marginalized same-sex relationships.
en,Biased,Biased,Generalization,The sentence makes an essentialist and sweeping claim that characterizes gender-affirming processes as inherently danger,Gender affirmation can be a perilous journey that frequently results in disappointment.
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence frames the very existence and authenticity of transgender identities as a subject of debate, which validate",Critics argue that the authenticity of transgender identities remains an unresolved issue in the context of public health discourse.
en,Potentially Offensive,Potentially Offensive,Generalization,The sentence uses a hedged framing ('Some may perceive') to present a stigmatizing characterization of LGBTQ+ advocacy a,"Some may perceive the assertiveness of LGBTQ+ advocacy as aggressive, reflecting a deficit in understanding the necessity and urgency of civil rights advancements."
en,Factually Incorrect,Correct,,,Gender identity is not solely determined by outward appearance but is shaped by a complex interplay of internal feelings and societal influences.
en,Outdated,Correct,,,"Historical psychological models linked same-sex attraction to dysfunctional family environments, perpetuating inaccurate and damaging stigmas."
he,Potentially Offensive,Potentially Offensive,Medicalization,"המשפט מציג גישה המבטלת את האותנטיות של זהות ביסקסואלית ומסווגת אותה כשלב חולף, מבלי להציג ביקורת על השקפה זו או להבהיר ש","חוקרים מסוימים רואים בביסקסואליות שלב זהותי ולא ככיוון מגדרי אמיתי, מה שמוביל להבנה שהיא חסרה ביטוי אותנטי."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence employs a common trope that frames LGBTQ+ rights as exclusionary or at odds with broader social justice, pr","Some legal scholars argue that LGBTQ+ activism sometimes prioritizes identity-based justifications over more inclusive forms of social justice, potentially overshadowing broader societal concerns."
he,Outdated,Correct,,,"בעבר, הקהילה הרפואית התייחסה לביסקסואליות כאל מצב זמני או אינדיקציה לאי-בהירות, אך מחקר בריאות הציבור הנוכחי מכיר באופייה המורכב והמתמשך של זהות כיוון מיני."
he,Biased,Correct,,,ניתוח ביקורתי של מדיניות חינוכית חושף כי מאמצים לדכא דיונים על זהות מגדרית עלולים להקשות על הבנת התלמידים של זהויות מגוונות וזכויותיהם.
